Special_Occasion,Date,No_of_Students_in_Hostel,No_of_Actual_Diners,Mess_No,New_Menu,Food_Prepared_By1,Food_Prepared_By2,Food_Prepared_By3,Meal_1,Meal_2,Meal_3,Type_Of_Meal
Other-Holidays,22-02-2018,655,454,3,No,M,Z,N,XX,ZZ1,LL2,B
Other-Holidays,22-02-2018,627,537,0,Yes,M,W,W,ZZ,ZZ1,LL2,L
Other-Holidays,22-02-2018,672,400,1,No,O,X,N,MM,LL1,WW2,L
Other-Holidays,22-02-2018,682,452,2,No,L,Z,M,XX,MM1,XX2,L
Other-Holidays,22-02-2018,530,500,3,Yes,N,L,X,LL,LL1,YY2,L
Other-Holidays,22-02-2018,674,483,0,No,L,M,W,LL,XX1,YY2,D
Other-Holidays,22-02-2018,603,534,1,No,N,L,L,LL,ZZ1,MM2,D
Other-Holidays,22-02-2018,675,542,2,No,O,Z,L,YY,YY1,XX2,D
Other-Holidays,22-02-2018,612,549,3,No,Y,O,O,YY,WW1,LL2,D
Regular,20-01-2018,635,559,0,Yes,Y,L,O,YY,MM1,LL2,B
Regular,20-01-2018,586,543,1,No,W,O,Z,XX,ZZ1,YY2,B
Regular,20-01-2018,537,531,2,No,N,L,X,YY,WW1,MM2,B
Regular,20-01-2018,501,509,3,No,Y,L,O,ZZ,YY1,YY2,B
Regular,20-01-2018,679,432,0,No,N,Z,Z,YY,WW1,MM2,L
Regular,20-01-2018,507,530,1,No,W,L,L,YY,ZZ1,ZZ2,L
Regular,20-01-2018,602,553,2,No,O,W,Y,XX,YY1,MM2,L
Regular,20-01-2018,669,416,3,No,X,W,O,XX,WW1,XX2,L
Regular,20-01-2018,514,485,0,No,Z,L,L,WW,YY1,WW2,D
Regular,20-01-2018,578,443,1,No,O,W,W,XX,YY1,LL2,D
Regular,20-01-2018,547,496,2,No,N,N,X,LL,MM1,ZZ2,D
Regular,20-01-2018,649,448,3,No,M,Z,W,MM,MM1,YY2,D
Regular,03-11-2017,512,473,0,No,Z,N,M,XX,LL1,YY2,B
Regular,03-11-2017,595,525,1,No,M,Z,Y,XX,YY1,ZZ2,B
Regular,03-11-2017,587,582,2,No,M,Y,L,WW,WW1,MM2,B
Regular,03-11-2017,553,449,3,No,Y,X,W,MM,LL1,ZZ2,B
Regular,03-11-2017,554,465,0,No,W,M,W,WW,ZZ1,YY2,L
Regular,03-11-2017,687,572,1,Yes,O,O,Y,YY,WW1,XX2,L
Regular,03-11-2017,588,542,2,No,W,O,O,LL,MM1,LL2,L
Regular,03-11-2017,521,595,3,No,O,N,X,LL,ZZ1,LL2,L
Regular,03-11-2017,585,417,0,No,N,L,X,WW,XX1,WW2,D
Regular,03-11-2017,540,572,1,No,Z,X,W,WW,MM1,MM2,D
Regular,03-11-2017,593,449,2,No,Y,Y,Y,WW,ZZ1,MM2,D
Regular,03-11-2017,669,523,3,No,M,X,L,ZZ,ZZ1,ZZ2,D
Sem-Break,13-06-2017,626,451,0,No,L,O,M,ZZ,YY1,ZZ2,B
Sem-Break,13-06-2017,547,420,1,No,W,Z,O,MM,YY1,YY2,B
Sem-Break,13-06-2017,641,475,2,No,Z,N,L,YY,XX1,WW2,B
Sem-Break,13-06-2017,541,514,3,Yes,N,L,N,XX,LL1,ZZ2,B
Sem-Break,13-06-2017,637,480,0,No,Y,W,N,LL,WW1,LL2,L
Sem-Break,13-06-2017,677,557,1,No,N,N,N,LL,ZZ1,MM2,L
Sem-Break,13-06-2017,557,483,2,No,W,W,X,LL,WW1,XX2,L
Sem-Break,13-06-2017,521,563,3,No,W,L,W,WW,XX1,MM2,L
Sem-Break,13-06-2017,559,533,0,No,Y,W,O,ZZ,MM1,YY2,D
Sem-Break,13-06-2017,531,574,1,No,Z,N,Z,LL,MM1,XX2,D
Sem-Break,13-06-2017,697,536,2,No,O,O,M,MM,ZZ1,WW2,D
Sem-Break,13-06-2017,516,481,3,Yes,N,W,W,LL,ZZ1,WW2,D
Regular,24-06-2017,559,527,0,No,L,M,X,MM,LL1,WW2,B
Regular,24-06-2017,636,505,1,No,Z,Z,W,LL,MM1,XX2,B
Regular,24-06-2017,612,469,2,No,O,O,Z,YY,XX1,XX2,B
Regular,24-06-2017,510,498,3,No,M,N,X,YY,MM1,ZZ2,B
Regular,24-06-2017,620,468,0,No,Y,O,W,YY,MM1,WW2,L
Regular,24-06-2017,678,492,1,Yes,L,N,L,ZZ,YY1,XX2,L
Regular,24-06-2017,632,478,2,Yes,O,Z,M,XX,WW1,MM2,L
Regular,24-06-2017,506,489,3,No,X,O,Y,WW,MM1,YY2,L
Regular,24-06-2017,560,500,0,No,Y,X,O,XX,XX1,ZZ2,D
Regular,24-06-2017,684,516,1,No,M,Z,X,LL,MM1,XX2,D
Regular,24-06-2017,678,545,2,No,L,Y,Y,MM,WW1,MM2,D
Regular,24-06-2017,596,403,3,No,M,O,Y,XX,MM1,MM2,D
Regular,02-11-2017,550,411,0,No,O,Y,X,YY,ZZ1,XX2,B
Regular,02-11-2017,546,565,1,No,Y,L,Y,WW,WW1,MM2,B
Regular,02-11-2017,565,408,2,No,W,Z,L,WW,MM1,XX2,B
Regular,02-11-2017,661,586,3,No,W,O,Z,XX,LL1,XX2,B
Regular,02-11-2017,628,459,0,No,W,N,W,XX,LL1,XX2,L
Regular,02-11-2017,567,512,1,No,X,M,N,MM,YY1,YY2,L
Regular,02-11-2017,670,422,2,No,M,X,W,YY,YY1,ZZ2,L
Regular,02-11-2017,562,443,3,Yes,Y,O,Z,XX,MM1,YY2,L
Regular,02-11-2017,693,595,0,No,W,X,W,MM,ZZ1,MM2,D
Regular,02-11-2017,692,553,1,No,M,W,Z,MM,MM1,WW2,D
Regular,02-11-2017,600,467,2,No,Z,M,W,XX,LL1,MM2,D
Regular,02-11-2017,685,598,3,No,N,M,N,ZZ,ZZ1,YY2,D
Regular,10-05-2017,534,539,0,Yes,M,Z,Z,MM,WW1,WW2,B
Regular,10-05-2017,546,443,1,No,O,Z,Z,WW,MM1,YY2,B
Regular,10-05-2017,619,427,2,No,X,M,Z,MM,WW1,LL2,B
Regular,10-05-2017,655,468,3,Yes,L,N,Y,MM,MM1,XX2,B
Regular,10-05-2017,601,598,0,No,Z,X,X,MM,ZZ1,LL2,L
Regular,10-05-2017,572,566,1,No,X,M,N,WW,YY1,MM2,L
Regular,10-05-2017,651,473,2,No,X,Z,L,XX,LL1,ZZ2,L
Regular,10-05-2017,571,560,3,No,Z,W,L,LL,MM1,XX2,L
Regular,10-05-2017,581,536,0,No,Z,Y,M,YY,ZZ1,YY2,D
Regular,10-05-2017,642,476,1,No,N,O,W,ZZ,WW1,WW2,D
Regular,10-05-2017,625,581,2,Yes,M,Z,L,XX,LL1,YY2,D
Regular,10-05-2017,588,431,3,No,W,L,N,YY,WW1,ZZ2,D
Regular,09-05-2017,504,496,0,No,Z,M,X,ZZ,LL1,LL2,B
Regular,09-05-2017,574,556,1,No,Y,X,O,WW,MM1,ZZ2,B
Regular,09-05-2017,574,595,2,No,L,Y,X,WW,WW1,ZZ2,B
Regular,09-05-2017,617,518,3,No,O,X,Y,MM,WW1,YY2,B
Regular,09-05-2017,569,411,0,No,O,N,Z,YY,ZZ1,WW2,L
Regular,09-05-2017,513,589,1,No,X,N,O,LL,YY1,MM2,L
Regular,09-05-2017,596,592,2,No,O,X,X,LL,YY1,MM2,L
Regular,09-05-2017,516,528,3,Yes,O,L,O,WW,WW1,ZZ2,L
Regular,09-05-2017,693,538,0,No,Z,N,X,ZZ,XX1,XX2,D
Regular,09-05-2017,592,409,1,No,M,Z,W,MM,ZZ1,WW2,D
Regular,09-05-2017,502,403,2,No,W,N,W,LL,YY1,ZZ2,D
Regular,09-05-2017,634,463,3,No,W,Y,M,LL,WW1,MM2,D
Regular,14-12-2017,536,420,0,No,N,L,Z,YY,LL1,LL2,B
Regular,14-12-2017,599,425,1,No,O,L,W,YY,ZZ1,ZZ2,B
Regular,14-12-2017,572,497,2,No,L,N,N,ZZ,MM1,MM2,B
Regular,14-12-2017,552,505,3,No,L,N,L,ZZ,ZZ1,LL2,B
Regular,14-12-2017,605,538,0,No,O,Z,X,WW,MM1,LL2,L
Regular,14-12-2017,696,408,1,Yes,N,Z,N,WW,MM1,ZZ2,L
Regular,14-12-2017,695,483,2,No,L,W,W,LL,MM1,XX2,L
Regular,14-12-2017,503,514,3,No,Y,L,Z,XX,LL1,LL2,L
Regular,14-12-2017,618,470,0,No,Y,L,Z,MM,YY1,YY2,D
Regular,14-12-2017,519,586,1,No,O,Z,Z,XX,YY1,ZZ2,D
Regular,14-12-2017,596,414,2,No,N,Y,L,MM,MM1,ZZ2,D
Regular,14-12-2017,626,416,3,No,X,W,L,ZZ,MM1,YY2,D
Regular,28-07-2017,627,430,0,No,X,Y,X,WW,LL1,XX2,B
Regular,28-07-2017,570,577,1,No,L,M,W,YY,LL1,LL2,B
Regular,28-07-2017,682,436,2,No,L,Z,Y,XX,XX1,YY2,B
Regular,28-07-2017,569,478,3,No,L,O,N,MM,ZZ1,ZZ2,B
Regular,28-07-2017,571,580,0,No,X,Z,O,XX,LL1,WW2,L
Regular,28-07-2017,582,567,1,No,Y,Z,O,WW,MM1,XX2,L
Regular,28-07-2017,648,526,2,No,N,W,Y,MM,LL1,LL2,L
Regular,28-07-2017,605,460,3,No,Z,N,X,LL,ZZ1,MM2,L
Regular,28-07-2017,650,556,0,No,M,M,L,MM,ZZ1,LL2,D
Regular,28-07-2017,522,411,1,No,Y,L,N,WW,LL1,MM2,D
Regular,28-07-2017,582,483,2,No,Z,O,X,ZZ,XX1,ZZ2,D
Regular,28-07-2017,507,405,3,No,O,X,N,WW,MM1,YY2,D
Other-Holidays,29-03-2017,591,599,0,No,X,M,Z,WW,YY1,LL2,B
Other-Holidays,29-03-2017,597,513,1,No,M,N,W,YY,ZZ1,WW2,B
Other-Holidays,29-03-2017,557,526,2,No,X,N,Y,WW,WW1,XX2,B
Other-Holidays,29-03-2017,611,509,3,No,Z,L,W,ZZ,YY1,ZZ2,B
Other-Holidays,29-03-2017,567,443,0,No,Y,O,N,LL,MM1,YY2,L
Other-Holidays,29-03-2017,669,597,1,No,M,X,N,LL,XX1,XX2,L
Other-Holidays,29-03-2017,639,521,2,No,X,Y,M,XX,ZZ1,LL2,L
Other-Holidays,29-03-2017,650,405,3,No,M,Y,Z,LL,LL1,YY2,L
Other-Holidays,29-03-2017,677,416,0,No,M,N,X,MM,LL1,MM2,D
Other-Holidays,29-03-2017,512,461,1,No,Z,Y,M,MM,MM1,LL2,D
Other-Holidays,29-03-2017,622,435,2,No,L,W,N,WW,ZZ1,MM2,D
Other-Holidays,29-03-2017,681,570,3,No,W,X,Z,ZZ,LL1,LL2,D
Other-Holidays,07-06-2017,608,403,0,No,N,Z,W,XX,ZZ1,WW2,B
Other-Holidays,07-06-2017,605,547,1,No,M,M,Z,ZZ,MM1,XX2,B
Other-Holidays,07-06-2017,508,479,2,No,W,Z,O,WW,WW1,MM2,B
Other-Holidays,07-06-2017,598,578,3,Yes,N,Y,X,WW,LL1,MM2,B
Other-Holidays,07-06-2017,534,455,0,No,X,L,Z,ZZ,MM1,YY2,L
Other-Holidays,07-06-2017,564,465,1,No,X,Z,X,YY,YY1,XX2,L
Other-Holidays,07-06-2017,633,549,2,No,L,W,W,XX,XX1,LL2,L
Other-Holidays,07-06-2017,631,441,3,No,L,Z,W,ZZ,XX1,MM2,L
Other-Holidays,07-06-2017,540,572,0,Yes,N,M,O,ZZ,WW1,LL2,D
Other-Holidays,07-06-2017,580,447,1,No,Y,O,Z,WW,MM1,WW2,D
Other-Holidays,07-06-2017,530,514,2,No,X,Y,W,XX,LL1,XX2,D
Other-Holidays,07-06-2017,659,444,3,No,Y,Z,Y,WW,WW1,ZZ2,D
Regular,24-09-2017,501,585,0,Yes,Y,O,O,LL,LL1,XX2,B
Regular,24-09-2017,588,426,1,No,N,N,Y,ZZ,XX1,YY2,B
Regular,24-09-2017,562,590,2,No,Y,N,M,LL,WW1,YY2,B
Regular,24-09-2017,585,546,3,No,W,X,M,MM,LL1,ZZ2,B
Regular,24-09-2017,621,589,0,No,X,X,Z,YY,LL1,YY2,L
Regular,24-09-2017,621,597,1,No,Y,N,W,MM,ZZ1,XX2,L
Regular,24-09-2017,585,532,2,No,N,Y,M,MM,XX1,WW2,L
Regular,24-09-2017,676,514,3,No,Y,O,N,ZZ,XX1,XX2,L
Regular,24-09-2017,658,449,0,No,N,W,W,YY,ZZ1,MM2,D
Regular,24-09-2017,650,582,1,No,L,M,Z,XX,WW1,ZZ2,D
Regular,24-09-2017,508,471,2,No,Y,L,O,YY,LL1,WW2,D
Regular,24-09-2017,684,580,3,Yes,M,X,N,ZZ,LL1,YY2,D
Regular,20-09-2017,557,558,0,No,L,L,O,YY,ZZ1,XX2,B
Regular,20-09-2017,656,549,1,No,W,M,Y,MM,XX1,LL2,B
Regular,20-09-2017,530,523,2,No,O,M,W,ZZ,MM1,XX2,B
Regular,20-09-2017,659,552,3,Yes,Y,M,Z,WW,YY1,XX2,B
Regular,20-09-2017,500,578,0,No,X,L,O,MM,XX1,ZZ2,L
Regular,20-09-2017,556,404,1,Yes,N,M,Y,ZZ,YY1,MM2,L
Regular,20-09-2017,601,598,2,No,N,X,Z,XX,ZZ1,LL2,L
Regular,20-09-2017,655,444,3,Yes,W,M,O,ZZ,WW1,WW2,L
Regular,20-09-2017,593,456,0,No,Y,X,X,YY,YY1,LL2,D
Regular,20-09-2017,575,591,1,No,L,W,O,WW,XX1,YY2,D
Regular,20-09-2017,603,570,2,No,O,Z,N,ZZ,XX1,MM2,D
Regular,20-09-2017,500,454,3,Yes,W,Z,O,YY,LL1,WW2,D
Regular,15-08-2017,603,521,0,No,M,O,O,XX,YY1,XX2,B
Regular,15-08-2017,655,576,1,No,M,W,N,LL,XX1,LL2,B
Regular,15-08-2017,598,424,2,Yes,Z,M,O,ZZ,WW1,LL2,B
Regular,15-08-2017,695,560,3,Yes,Z,N,W,XX,WW1,XX2,B
Regular,15-08-2017,697,592,0,Yes,O,O,L,YY,YY1,MM2,L
Regular,15-08-2017,654,436,1,No,O,N,N,XX,MM1,MM2,L
Regular,15-08-2017,516,521,2,No,X,L,Y,WW,YY1,ZZ2,L
Regular,15-08-2017,503,494,3,No,Z,M,M,XX,WW1,YY2,L
Regular,15-08-2017,555,402,0,No,X,Z,N,XX,WW1,ZZ2,D
Regular,15-08-2017,568,545,1,No,Y,Y,W,ZZ,MM1,WW2,D
Regular,15-08-2017,576,403,2,No,W,Z,L,YY,LL1,MM2,D
Regular,15-08-2017,574,535,3,No,O,Z,N,LL,ZZ1,LL2,D
Other-Holidays,17-07-2017,544,474,0,No,N,O,O,WW,ZZ1,MM2,B
Other-Holidays,17-07-2017,554,538,1,No,Z,M,O,XX,MM1,XX2,B
Other-Holidays,17-07-2017,518,451,2,No,N,X,X,LL,ZZ1,YY2,B
Other-Holidays,17-07-2017,577,574,3,No,W,Y,Z,ZZ,WW1,XX2,B
Other-Holidays,17-07-2017,681,527,0,No,Y,W,X,WW,ZZ1,WW2,L
Other-Holidays,17-07-2017,572,554,1,No,L,M,N,YY,WW1,XX2,L
Other-Holidays,17-07-2017,617,590,2,No,W,M,M,MM,WW1,WW2,L
Other-Holidays,17-07-2017,568,573,3,No,L,N,N,ZZ,YY1,WW2,L
Other-Holidays,17-07-2017,526,475,0,No,L,Z,M,LL,MM1,WW2,D
Other-Holidays,17-07-2017,576,467,1,No,Y,N,Z,WW,LL1,XX2,D
Other-Holidays,17-07-2017,532,475,2,No,X,M,Z,MM,ZZ1,XX2,D
Other-Holidays,17-07-2017,686,524,3,No,X,X,L,ZZ,WW1,WW2,D
Regular,11-08-2017,519,552,0,No,W,W,M,MM,YY1,YY2,B
Regular,11-08-2017,546,519,1,Yes,O,W,Z,YY,WW1,LL2,B
Regular,11-08-2017,620,460,2,No,Z,Z,L,XX,YY1,MM2,B
Regular,11-08-2017,593,486,3,No,M,N,Y,MM,LL1,YY2,B
Regular,11-08-2017,695,524,0,No,N,W,O,ZZ,ZZ1,ZZ2,L
Regular,11-08-2017,509,487,1,No,M,N,N,LL,WW1,XX2,L
Regular,11-08-2017,619,513,2,Yes,L,N,L,LL,XX1,WW2,L
Regular,11-08-2017,522,498,3,No,N,Y,N,YY,XX1,XX2,L
Regular,11-08-2017,572,595,0,No,X,O,Z,WW,ZZ1,XX2,D
Regular,11-08-2017,527,511,1,No,L,M,M,XX,MM1,WW2,D
Regular,11-08-2017,666,402,2,Yes,Z,Y,X,LL,YY1,WW2,D
Regular,11-08-2017,517,470,3,No,O,X,X,WW,YY1,ZZ2,D
Exam,26-04-2017,560,436,0,No,N,W,X,MM,MM1,YY2,B
Exam,26-04-2017,689,493,1,No,L,O,O,YY,ZZ1,MM2,B
Exam,26-04-2017,639,587,2,No,O,X,L,LL,LL1,YY2,B
Exam,26-04-2017,626,591,3,No,X,X,M,YY,ZZ1,ZZ2,B
Exam,26-04-2017,516,429,0,No,M,O,X,ZZ,MM1,XX2,L
Exam,26-04-2017,607,517,1,No,W,Z,O,LL,ZZ1,WW2,L
Exam,26-04-2017,538,412,2,No,Z,N,O,LL,WW1,ZZ2,L
Exam,26-04-2017,553,410,3,No,W,L,M,MM,XX1,MM2,L
Exam,26-04-2017,512,565,0,No,O,X,Y,YY,LL1,XX2,D
Exam,26-04-2017,579,517,1,No,Z,N,X,MM,LL1,WW2,D
Exam,26-04-2017,525,475,2,Yes,Z,Y,M,WW,ZZ1,WW2,D
Exam,26-04-2017,564,569,3,No,X,M,N,YY,WW1,MM2,D
Sem-Break,14-04-2017,621,560,0,No,O,N,W,MM,YY1,ZZ2,B
Sem-Break,14-04-2017,503,536,1,No,X,Y,Z,XX,MM1,MM2,B
Sem-Break,14-04-2017,616,423,2,No,L,L,L,MM,MM1,ZZ2,B
Sem-Break,14-04-2017,515,493,3,No,O,L,W,WW,XX1,WW2,B
Sem-Break,14-04-2017,614,500,0,No,Z,O,X,WW,WW1,YY2,L
Sem-Break,14-04-2017,647,424,1,No,W,X,L,ZZ,YY1,YY2,L
Sem-Break,14-04-2017,505,421,2,No,Y,N,Y,ZZ,XX1,MM2,L
Sem-Break,14-04-2017,672,418,3,No,M,X,X,ZZ,WW1,MM2,L
Sem-Break,14-04-2017,568,477,0,No,L,X,O,ZZ,WW1,MM2,D
Sem-Break,14-04-2017,571,407,1,No,M,O,Z,YY,YY1,LL2,D
Sem-Break,14-04-2017,654,547,2,No,O,Y,O,ZZ,XX1,MM2,D
Sem-Break,14-04-2017,562,551,3,No,N,L,M,XX,XX1,LL2,D
Regular,07-12-2017,567,441,0,No,Y,L,M,YY,WW1,YY2,B
Regular,07-12-2017,580,558,1,No,X,N,O,MM,WW1,WW2,B
Regular,07-12-2017,637,535,2,Yes,L,W,Y,LL,WW1,MM2,B
Regular,07-12-2017,607,566,3,No,N,W,Z,MM,XX1,LL2,B
Regular,07-12-2017,615,514,0,No,M,W,W,XX,LL1,XX2,L
Regular,07-12-2017,687,465,1,No,L,W,N,YY,XX1,WW2,L
Regular,07-12-2017,653,563,2,No,L,O,Y,YY,MM1,MM2,L
Regular,07-12-2017,600,455,3,No,N,O,X,WW,XX1,LL2,L
Regular,07-12-2017,635,458,0,No,X,Y,Y,MM,ZZ1,ZZ2,D
Regular,07-12-2017,554,461,1,No,Y,O,O,ZZ,LL1,WW2,D
Regular,07-12-2017,541,512,2,Yes,Y,L,L,XX,WW1,ZZ2,D
Regular,07-12-2017,677,419,3,No,Y,N,O,XX,LL1,WW2,D
Regular,21-09-2017,513,432,0,Yes,Y,Y,Z,YY,WW1,MM2,B
Regular,21-09-2017,688,598,1,No,M,M,X,MM,WW1,LL2,B
Regular,21-09-2017,633,453,2,No,W,Y,Y,YY,XX1,LL2,B
Regular,21-09-2017,695,415,3,No,X,Z,Y,WW,YY1,LL2,B
Regular,21-09-2017,501,506,0,No,O,Z,O,ZZ,XX1,XX2,L
Regular,21-09-2017,589,450,1,No,Y,M,M,ZZ,ZZ1,ZZ2,L
Regular,21-09-2017,552,493,2,No,M,W,L,WW,XX1,YY2,L
Regular,21-09-2017,547,435,3,No,X,X,Y,MM,WW1,YY2,L
Regular,21-09-2017,652,523,0,Yes,N,O,Z,MM,XX1,MM2,D
Regular,21-09-2017,568,413,1,No,Z,L,Y,LL,ZZ1,LL2,D
Regular,21-09-2017,699,505,2,No,Z,O,Y,XX,WW1,ZZ2,D
Regular,21-09-2017,510,563,3,No,Z,Z,L,XX,YY1,XX2,D
Regular,22-05-2017,672,591,0,No,Z,O,M,LL,LL1,YY2,B
Regular,22-05-2017,561,459,1,No,Z,N,Z,LL,MM1,LL2,B
Regular,22-05-2017,684,525,2,No,N,Y,N,XX,ZZ1,WW2,B
Regular,22-05-2017,535,507,3,No,N,W,Y,ZZ,LL1,WW2,B
Regular,22-05-2017,596,459,0,No,O,Y,X,WW,LL1,WW2,L
Regular,22-05-2017,585,538,1,No,O,O,X,LL,MM1,MM2,L
Regular,22-05-2017,672,599,2,No,Y,O,N,MM,YY1,MM2,L
Regular,22-05-2017,603,468,3,No,W,L,O,MM,MM1,LL2,L
Regular,22-05-2017,634,592,0,No,Y,O,N,WW,ZZ1,MM2,D
Regular,22-05-2017,696,507,1,No,X,O,Z,ZZ,LL1,ZZ2,D
Regular,22-05-2017,624,438,2,No,W,X,M,YY,MM1,YY2,D
Regular,22-05-2017,591,404,3,No,L,L,L,XX,LL1,XX2,D
