Special_Occasion,Day,Month,Year,Mess_No,New_Menu,Food_Prepared_By1,Food_Prepared_By2,Food_Prepared_By3,Meal_1,Wastage_1,Meal_2,Wastage_2,Meal_3,Wastage_3,Type_Of_Meal,Total Wastage
Regular,5,12,2017,0,No,Z,Y,X,ZZ,0,WW1,0,MM2,0,B,0
Regular,5,12,2017,1,Yes,Y,X,Y,WW,20,LL1,30,WW2,40,B,90
Regular,5,12,2017,2,No,M,O,X,WW,0,XX1,0,WW2,0,B,0
Regular,5,12,2017,3,No,Z,Y,Z,XX,144,WW1,216,YY2,288,B,648
Regular,5,12,2017,0,Yes,W,O,M,YY,232,MM1,348,LL2,464,L,1044
Regular,5,12,2017,1,Yes,O,W,O,YY,0,LL1,0,MM2,0,L,0
Regular,5,12,2017,2,No,Z,N,N,XX,20,ZZ1,30,YY2,40,L,90
Regular,5,12,2017,3,No,X,M,M,WW,272,WW1,408,YY2,544,L,1224
Regular,5,12,2017,0,No,M,Y,X,YY,0,LL1,0,ZZ2,0,D,0
Regular,5,12,2017,1,No,L,X,X,XX,170,MM1,255,MM2,340,D,765
Regular,5,12,2017,2,No,M,Y,X,MM,236,YY1,354,WW2,472,D,1062
Regular,5,12,2017,3,No,X,Y,Y,WW,236,WW1,354,ZZ2,472,D,1062
Regular,3,7,2017,0,Yes,O,N,X,XX,164,MM1,246,WW2,328,B,738
Regular,3,7,2017,1,Yes,L,L,Y,XX,0,WW1,0,YY2,0,B,0
Regular,3,7,2017,2,No,N,Z,L,MM,324,YY1,486,ZZ2,648,B,1458
Regular,3,7,2017,3,No,N,N,Z,ZZ,398,XX1,597,ZZ2,796,B,1791
Regular,3,7,2017,0,Yes,Z,Y,X,ZZ,234,MM1,351,ZZ2,468,L,1053
Regular,3,7,2017,1,Yes,L,M,Y,LL,0,XX1,0,ZZ2,0,L,0
Regular,3,7,2017,2,No,Z,M,O,MM,170,WW1,255,MM2,340,L,765
Regular,3,7,2017,3,No,N,N,M,YY,204,XX1,306,YY2,408,L,918
Regular,3,7,2017,0,No,N,M,Y,WW,320,ZZ1,480,YY2,640,D,1440
Regular,3,7,2017,1,Yes,O,Y,O,LL,20,XX1,30,YY2,40,D,90
Regular,3,7,2017,2,No,M,M,Y,XX,224,YY1,336,XX2,448,D,1008
Regular,3,7,2017,3,No,N,X,Z,YY,162,ZZ1,243,MM2,324,D,729
Sem-Break,20,1,2018,0,No,Y,N,L,WW,134,XX1,201,XX2,268,B,603
Sem-Break,20,1,2018,1,Yes,X,Y,Z,XX,198,WW1,297,YY2,396,B,891
Sem-Break,20,1,2018,2,No,L,O,N,MM,338,WW1,507,ZZ2,676,B,1521
Sem-Break,20,1,2018,3,No,X,Z,Y,LL,304,ZZ1,456,XX2,608,B,1368
Sem-Break,20,1,2018,0,No,L,X,X,ZZ,178,WW1,267,WW2,356,L,801
Sem-Break,20,1,2018,1,No,Y,X,M,ZZ,0,YY1,0,ZZ2,0,L,0
Sem-Break,20,1,2018,2,Yes,M,W,L,WW,310,WW1,465,XX2,620,L,1395
Sem-Break,20,1,2018,3,No,N,Y,Y,YY,266,LL1,399,ZZ2,532,L,1197
Sem-Break,20,1,2018,0,No,Z,W,O,MM,100,WW1,150,WW2,200,D,450
Sem-Break,20,1,2018,1,Yes,O,M,N,WW,470,XX1,705,ZZ2,940,D,2115
Sem-Break,20,1,2018,2,No,Z,M,N,XX,450,YY1,675,WW2,900,D,2025
Sem-Break,20,1,2018,3,No,Y,W,L,WW,334,ZZ1,501,MM2,668,D,1503
Regular,16,6,2017,0,No,W,W,M,YY,34,MM1,51,MM2,68,B,153
Regular,16,6,2017,1,No,M,M,X,MM,274,XX1,411,YY2,548,B,1233
Regular,16,6,2017,2,No,M,M,X,WW,172,MM1,258,LL2,344,B,774
Regular,16,6,2017,3,Yes,L,M,M,XX,260,YY1,390,XX2,520,B,1170
Regular,16,6,2017,0,No,L,W,L,ZZ,194,YY1,291,YY2,388,L,873
Regular,16,6,2017,1,No,L,Y,Z,WW,214,WW1,321,WW2,428,L,963
Regular,16,6,2017,2,No,L,O,W,ZZ,578,ZZ1,867,XX2,1156,L,2601
Regular,16,6,2017,3,No,M,W,O,ZZ,102,XX1,153,ZZ2,204,L,459
Regular,16,6,2017,0,No,N,L,W,MM,50,WW1,75,LL2,100,D,225
Regular,16,6,2017,1,Yes,Y,O,O,MM,232,LL1,348,WW2,464,D,1044
Regular,16,6,2017,2,No,Y,L,Y,XX,426,YY1,639,YY2,852,D,1917
Regular,16,6,2017,3,No,L,W,N,WW,0,MM1,0,ZZ2,0,D,0
Other-Holidays,22,2,2018,0,No,N,X,O,ZZ,0,ZZ1,0,ZZ2,0,B,0
Other-Holidays,22,2,2018,1,No,O,O,Y,YY,396,LL1,594,LL2,792,B,1782
Other-Holidays,22,2,2018,2,Yes,M,Y,Y,LL,58,MM1,87,MM2,116,B,261
Other-Holidays,22,2,2018,3,No,M,Z,N,XX,402,ZZ1,603,LL2,804,B,1809
Other-Holidays,22,2,2018,0,Yes,M,W,W,ZZ,180,ZZ1,270,LL2,360,L,810
Other-Holidays,22,2,2018,1,No,O,X,N,MM,544,LL1,816,WW2,1088,L,2448
Other-Holidays,22,2,2018,2,No,L,Z,M,XX,460,MM1,690,XX2,920,L,2070
Other-Holidays,22,2,2018,3,Yes,N,L,X,LL,60,LL1,90,YY2,120,L,270
Other-Holidays,22,2,2018,0,No,L,M,W,LL,382,XX1,573,YY2,764,D,1719
Other-Holidays,22,2,2018,1,No,N,L,L,LL,138,ZZ1,207,MM2,276,D,621
Other-Holidays,22,2,2018,2,No,O,Z,L,YY,266,YY1,399,XX2,532,D,1197
Other-Holidays,22,2,2018,3,No,Y,O,O,YY,126,WW1,189,LL2,252,D,567
Regular,20,1,2018,0,Yes,Y,L,O,YY,152,MM1,228,LL2,304,B,684
Regular,20,1,2018,1,No,W,O,Z,XX,86,ZZ1,129,YY2,172,B,387
Regular,20,1,2018,2,No,N,L,X,YY,12,WW1,18,MM2,24,B,54
Regular,20,1,2018,3,No,Y,L,O,ZZ,0,YY1,0,YY2,0,B,0
Regular,20,1,2018,0,No,N,Z,Z,YY,494,WW1,741,MM2,988,L,2223
Regular,20,1,2018,1,No,W,L,L,YY,0,ZZ1,0,ZZ2,0,L,0
Regular,20,1,2018,2,No,O,W,Y,XX,98,YY1,147,MM2,196,L,441
Regular,20,1,2018,3,No,X,W,O,XX,506,WW1,759,XX2,1012,L,2277
Regular,20,1,2018,0,No,Z,L,L,WW,58,YY1,87,WW2,116,D,261
Regular,20,1,2018,1,No,O,W,W,XX,270,YY1,405,LL2,540,D,1215
Regular,20,1,2018,2,No,N,N,X,LL,102,MM1,153,ZZ2,204,D,459
Regular,20,1,2018,3,No,M,Z,W,MM,402,MM1,603,YY2,804,D,1809
Regular,3,11,2017,0,No,Z,N,M,XX,78,LL1,117,YY2,156,B,351
Regular,3,11,2017,1,No,M,Z,Y,XX,140,YY1,210,ZZ2,280,B,630
Regular,3,11,2017,2,No,M,Y,L,WW,10,WW1,15,MM2,20,B,45
Regular,3,11,2017,3,No,Y,X,W,MM,208,LL1,312,ZZ2,416,B,936
Regular,3,11,2017,0,No,W,M,W,WW,178,ZZ1,267,YY2,356,L,801
Regular,3,11,2017,1,Yes,O,O,Y,YY,230,WW1,345,XX2,460,L,1035
Regular,3,11,2017,2,No,W,O,O,LL,92,MM1,138,LL2,184,L,414
Regular,3,11,2017,3,No,O,N,X,LL,0,ZZ1,0,LL2,0,L,0
Regular,3,11,2017,0,No,N,L,X,WW,336,XX1,504,WW2,672,D,1512
Regular,3,11,2017,1,No,Z,X,W,WW,0,MM1,0,MM2,0,D,0
Regular,3,11,2017,2,No,Y,Y,Y,WW,288,ZZ1,432,MM2,576,D,1296
Regular,3,11,2017,3,No,M,X,L,ZZ,292,ZZ1,438,ZZ2,584,D,1314
Sem-Break,13,6,2017,0,No,L,O,M,ZZ,350,YY1,525,ZZ2,700,B,1575
Sem-Break,13,6,2017,1,No,W,Z,O,MM,254,YY1,381,YY2,508,B,1143
Sem-Break,13,6,2017,2,No,Z,N,L,YY,332,XX1,498,WW2,664,B,1494
Sem-Break,13,6,2017,3,Yes,N,L,N,XX,54,LL1,81,ZZ2,108,B,243
Sem-Break,13,6,2017,0,No,Y,W,N,LL,314,WW1,471,LL2,628,L,1413
Sem-Break,13,6,2017,1,No,N,N,N,LL,240,ZZ1,360,MM2,480,L,1080
Sem-Break,13,6,2017,2,No,W,W,X,LL,148,WW1,222,XX2,296,L,666
Sem-Break,13,6,2017,3,No,W,L,W,WW,0,XX1,0,MM2,0,L,0
Sem-Break,13,6,2017,0,No,Y,W,O,ZZ,52,MM1,78,YY2,104,D,234
Sem-Break,13,6,2017,1,No,Z,N,Z,LL,0,MM1,0,XX2,0,D,0
Sem-Break,13,6,2017,2,No,O,O,M,MM,322,ZZ1,483,WW2,644,D,1449
Sem-Break,13,6,2017,3,Yes,N,W,W,LL,70,ZZ1,105,WW2,140,D,315
Regular,24,6,2017,0,No,L,M,X,MM,64,LL1,96,WW2,128,B,288
Regular,24,6,2017,1,No,Z,Z,W,LL,262,MM1,393,XX2,524,B,1179
Regular,24,6,2017,2,No,O,O,Z,YY,286,XX1,429,XX2,572,B,1287
Regular,24,6,2017,3,No,M,N,X,YY,24,MM1,36,ZZ2,48,B,108
Regular,24,6,2017,0,No,Y,O,W,YY,304,MM1,456,WW2,608,L,1368
Regular,24,6,2017,1,Yes,L,N,L,ZZ,372,YY1,558,XX2,744,L,1674
Regular,24,6,2017,2,Yes,O,Z,M,XX,308,WW1,462,MM2,616,L,1386
Regular,24,6,2017,3,No,X,O,Y,WW,34,MM1,51,YY2,68,L,153
Regular,24,6,2017,0,No,Y,X,O,XX,120,XX1,180,ZZ2,240,D,540
Regular,24,6,2017,1,No,M,Z,X,LL,336,MM1,504,XX2,672,D,1512
Regular,24,6,2017,2,No,L,Y,Y,MM,266,WW1,399,MM2,532,D,1197
Regular,24,6,2017,3,No,M,O,Y,XX,386,MM1,579,MM2,772,D,1737
Regular,2,11,2017,0,No,O,Y,X,YY,278,ZZ1,417,XX2,556,B,1251
Regular,2,11,2017,1,No,Y,L,Y,WW,0,WW1,0,MM2,0,B,0
Regular,2,11,2017,2,No,W,Z,L,WW,314,MM1,471,XX2,628,B,1413
Regular,2,11,2017,3,No,W,O,Z,XX,150,LL1,225,XX2,300,B,675
Regular,2,11,2017,0,No,W,N,W,XX,338,LL1,507,XX2,676,L,1521
Regular,2,11,2017,1,No,X,M,N,MM,110,YY1,165,YY2,220,L,495
Regular,2,11,2017,2,No,M,X,W,YY,496,YY1,744,ZZ2,992,L,2232
Regular,2,11,2017,3,Yes,Y,O,Z,XX,238,MM1,357,YY2,476,L,1071
Regular,2,11,2017,0,No,W,X,W,MM,196,ZZ1,294,MM2,392,D,882
Regular,2,11,2017,1,No,M,W,Z,MM,278,MM1,417,WW2,556,D,1251
Regular,2,11,2017,2,No,Z,M,W,XX,266,LL1,399,MM2,532,D,1197
Regular,2,11,2017,3,No,N,M,N,ZZ,174,ZZ1,261,YY2,348,D,783
Regular,10,5,2017,0,Yes,M,Z,Z,MM,0,WW1,0,WW2,0,B,0
Regular,10,5,2017,1,No,O,Z,Z,WW,206,MM1,309,YY2,412,B,927
Regular,10,5,2017,2,No,X,M,Z,MM,384,WW1,576,LL2,768,B,1728
Regular,10,5,2017,3,Yes,L,N,Y,MM,374,MM1,561,XX2,748,B,1683
Regular,10,5,2017,0,No,Z,X,X,MM,6,ZZ1,9,LL2,12,L,27
Regular,10,5,2017,1,No,X,M,N,WW,12,YY1,18,MM2,24,L,54
Regular,10,5,2017,2,No,X,Z,L,XX,356,LL1,534,ZZ2,712,L,1602
Regular,10,5,2017,3,No,Z,W,L,LL,22,MM1,33,XX2,44,L,99
Regular,10,5,2017,0,No,Z,Y,M,YY,90,ZZ1,135,YY2,180,D,405
Regular,10,5,2017,1,No,N,O,W,ZZ,332,WW1,498,WW2,664,D,1494
Regular,10,5,2017,2,Yes,M,Z,L,XX,88,LL1,132,YY2,176,D,396
Regular,10,5,2017,3,No,W,L,N,YY,314,WW1,471,ZZ2,628,D,1413
Regular,9,5,2017,0,No,Z,M,X,ZZ,16,LL1,24,LL2,32,B,72
Regular,9,5,2017,1,No,Y,X,O,WW,36,MM1,54,ZZ2,72,B,162
Regular,9,5,2017,2,No,L,Y,X,WW,0,WW1,0,ZZ2,0,B,0
Regular,9,5,2017,3,No,O,X,Y,MM,198,WW1,297,YY2,396,B,891
Regular,9,5,2017,0,No,O,N,Z,YY,316,ZZ1,474,WW2,632,L,1422
Regular,9,5,2017,1,No,X,N,O,LL,0,YY1,0,MM2,0,L,0
Regular,9,5,2017,2,No,O,X,X,LL,8,YY1,12,MM2,16,L,36
Regular,9,5,2017,3,Yes,O,L,O,WW,0,WW1,0,ZZ2,0,L,0
Regular,9,5,2017,0,No,Z,N,X,ZZ,310,XX1,465,XX2,620,D,1395
Regular,9,5,2017,1,No,M,Z,W,MM,366,ZZ1,549,WW2,732,D,1647
Regular,9,5,2017,2,No,W,N,W,LL,198,YY1,297,ZZ2,396,D,891
Regular,9,5,2017,3,No,W,Y,M,LL,342,WW1,513,MM2,684,D,1539
Regular,14,12,2017,0,No,N,L,Z,YY,232,LL1,348,LL2,464,B,1044
Regular,14,12,2017,1,No,O,L,W,YY,348,ZZ1,522,ZZ2,696,B,1566
Regular,14,12,2017,2,No,L,N,N,ZZ,150,MM1,225,MM2,300,B,675
Regular,14,12,2017,3,No,L,N,L,ZZ,94,ZZ1,141,LL2,188,B,423
Regular,14,12,2017,0,No,O,Z,X,WW,134,MM1,201,LL2,268,L,603
Regular,14,12,2017,1,Yes,N,Z,N,WW,576,MM1,864,ZZ2,1152,L,2592
Regular,14,12,2017,2,No,L,W,W,LL,424,MM1,636,XX2,848,L,1908
Regular,14,12,2017,3,No,Y,L,Z,XX,0,LL1,0,LL2,0,L,0
Regular,14,12,2017,0,No,Y,L,Z,MM,296,YY1,444,YY2,592,D,1332
Regular,14,12,2017,1,No,O,Z,Z,XX,0,YY1,0,ZZ2,0,D,0
Regular,14,12,2017,2,No,N,Y,L,MM,364,MM1,546,ZZ2,728,D,1638
Regular,14,12,2017,3,No,X,W,L,ZZ,420,MM1,630,YY2,840,D,1890
Regular,28,7,2017,0,No,X,Y,X,WW,394,LL1,591,XX2,788,B,1773
Regular,28,7,2017,1,No,L,M,W,YY,0,LL1,0,LL2,0,B,0
Regular,28,7,2017,2,No,L,Z,Y,XX,492,XX1,738,YY2,984,B,2214
Regular,28,7,2017,3,No,L,O,N,MM,182,ZZ1,273,ZZ2,364,B,819
Regular,28,7,2017,0,No,X,Z,O,XX,0,LL1,0,WW2,0,L,0
Regular,28,7,2017,1,No,Y,Z,O,WW,30,MM1,45,XX2,60,L,135
Regular,28,7,2017,2,No,N,W,Y,MM,244,LL1,366,LL2,488,L,1098
Regular,28,7,2017,3,No,Z,N,X,LL,290,ZZ1,435,MM2,580,L,1305
Regular,28,7,2017,0,No,M,M,L,MM,188,ZZ1,282,LL2,376,D,846
Regular,28,7,2017,1,No,Y,L,N,WW,222,LL1,333,MM2,444,D,999
Regular,28,7,2017,2,No,Z,O,X,ZZ,198,XX1,297,ZZ2,396,D,891
Regular,28,7,2017,3,No,O,X,N,WW,204,MM1,306,YY2,408,D,918
Other-Holidays,29,3,2017,0,No,X,M,Z,WW,0,YY1,0,LL2,0,B,0
Other-Holidays,29,3,2017,1,No,M,N,W,YY,168,ZZ1,252,WW2,336,B,756
Other-Holidays,29,3,2017,2,No,X,N,Y,WW,62,WW1,93,XX2,124,B,279
Other-Holidays,29,3,2017,3,No,Z,L,W,ZZ,204,YY1,306,ZZ2,408,B,918
Other-Holidays,29,3,2017,0,No,Y,O,N,LL,248,MM1,372,YY2,496,L,1116
Other-Holidays,29,3,2017,1,No,M,X,N,LL,144,XX1,216,XX2,288,L,648
Other-Holidays,29,3,2017,2,No,X,Y,M,XX,236,ZZ1,354,LL2,472,L,1062
Other-Holidays,29,3,2017,3,No,M,Y,Z,LL,490,LL1,735,YY2,980,L,2205
Other-Holidays,29,3,2017,0,No,M,N,X,MM,522,LL1,783,MM2,1044,D,2349
Other-Holidays,29,3,2017,1,No,Z,Y,M,MM,102,MM1,153,LL2,204,D,459
Other-Holidays,29,3,2017,2,No,L,W,N,WW,374,ZZ1,561,MM2,748,D,1683
Other-Holidays,29,3,2017,3,No,W,X,Z,ZZ,222,LL1,333,LL2,444,D,999
Other-Holidays,7,6,2017,0,No,N,Z,W,XX,410,ZZ1,615,WW2,820,B,1845
Other-Holidays,7,6,2017,1,No,M,M,Z,ZZ,116,MM1,174,XX2,232,B,522
Other-Holidays,7,6,2017,2,No,W,Z,O,WW,58,WW1,87,MM2,116,B,261
Other-Holidays,7,6,2017,3,Yes,N,Y,X,WW,40,LL1,60,MM2,80,B,180
Other-Holidays,7,6,2017,0,No,X,L,Z,ZZ,158,MM1,237,YY2,316,L,711
Other-Holidays,7,6,2017,1,No,X,Z,X,YY,198,YY1,297,XX2,396,L,891
Other-Holidays,7,6,2017,2,No,L,W,W,XX,168,XX1,252,LL2,336,L,756
Other-Holidays,7,6,2017,3,No,L,Z,W,ZZ,380,XX1,570,MM2,760,L,1710
Other-Holidays,7,6,2017,0,Yes,N,M,O,ZZ,0,WW1,0,LL2,0,D,0
Other-Holidays,7,6,2017,1,No,Y,O,Z,WW,266,MM1,399,WW2,532,D,1197
Other-Holidays,7,6,2017,2,No,X,Y,W,XX,32,LL1,48,XX2,64,D,144
Other-Holidays,7,6,2017,3,No,Y,Z,Y,WW,430,WW1,645,ZZ2,860,D,1935
Regular,24,9,2017,0,Yes,Y,O,O,LL,0,LL1,0,XX2,0,B,0
Regular,24,9,2017,1,No,N,N,Y,ZZ,324,XX1,486,YY2,648,B,1458
Regular,24,9,2017,2,No,Y,N,M,LL,0,WW1,0,YY2,0,B,0
Regular,24,9,2017,3,No,W,X,M,MM,78,LL1,117,ZZ2,156,B,351
Regular,24,9,2017,0,No,X,X,Z,YY,64,LL1,96,YY2,128,L,288
Regular,24,9,2017,1,No,Y,N,W,MM,48,ZZ1,72,XX2,96,L,216
Regular,24,9,2017,2,No,N,Y,M,MM,106,XX1,159,WW2,212,L,477
Regular,24,9,2017,3,No,Y,O,N,ZZ,324,XX1,486,XX2,648,L,1458
Regular,24,9,2017,0,No,N,W,W,YY,418,ZZ1,627,MM2,836,D,1881
Regular,24,9,2017,1,No,L,M,Z,XX,136,WW1,204,ZZ2,272,D,612
Regular,24,9,2017,2,No,Y,L,O,YY,74,LL1,111,WW2,148,D,333
Regular,24,9,2017,3,Yes,M,X,N,ZZ,208,LL1,312,YY2,416,D,936
Regular,20,9,2017,0,No,L,L,O,YY,0,ZZ1,0,XX2,0,B,0
Regular,20,9,2017,1,No,W,M,Y,MM,214,XX1,321,LL2,428,B,963
Regular,20,9,2017,2,No,O,M,W,ZZ,14,MM1,21,XX2,28,B,63
Regular,20,9,2017,3,Yes,Y,M,Z,WW,214,YY1,321,XX2,428,B,963
Regular,20,9,2017,0,No,X,L,O,MM,0,XX1,0,ZZ2,0,L,0
Regular,20,9,2017,1,Yes,N,M,Y,ZZ,304,YY1,456,MM2,608,L,1368
Regular,20,9,2017,2,No,N,X,Z,XX,6,ZZ1,9,LL2,12,L,27
Regular,20,9,2017,3,Yes,W,M,O,ZZ,422,WW1,633,WW2,844,L,1899
Regular,20,9,2017,0,No,Y,X,X,YY,274,YY1,411,LL2,548,D,1233
Regular,20,9,2017,1,No,L,W,O,WW,0,XX1,0,YY2,0,D,0
Regular,20,9,2017,2,No,O,Z,N,ZZ,66,XX1,99,MM2,132,D,297
Regular,20,9,2017,3,Yes,W,Z,O,YY,92,LL1,138,WW2,184,D,414
Regular,15,8,2017,0,No,M,O,O,XX,164,YY1,246,XX2,328,B,738
Regular,15,8,2017,1,No,M,W,N,LL,158,XX1,237,LL2,316,B,711
Regular,15,8,2017,2,Yes,Z,M,O,ZZ,348,WW1,522,LL2,696,B,1566
Regular,15,8,2017,3,Yes,Z,N,W,XX,270,WW1,405,XX2,540,B,1215
Regular,15,8,2017,0,Yes,O,O,L,YY,210,YY1,315,MM2,420,L,945
Regular,15,8,2017,1,No,O,N,N,XX,436,MM1,654,MM2,872,L,1962
Regular,15,8,2017,2,No,X,L,Y,WW,0,YY1,0,ZZ2,0,L,0
Regular,15,8,2017,3,No,Z,M,M,XX,18,WW1,27,YY2,36,L,81
Regular,15,8,2017,0,No,X,Z,N,XX,306,WW1,459,ZZ2,612,D,1377
Regular,15,8,2017,1,No,Y,Y,W,ZZ,46,MM1,69,WW2,92,D,207
Regular,15,8,2017,2,No,W,Z,L,YY,346,LL1,519,MM2,692,D,1557
Regular,15,8,2017,3,No,O,Z,N,LL,78,ZZ1,117,LL2,156,D,351
Other-Holidays,17,7,2017,0,No,N,O,O,WW,140,ZZ1,210,MM2,280,B,630
Other-Holidays,17,7,2017,1,No,Z,M,O,XX,32,MM1,48,XX2,64,B,144
Other-Holidays,17,7,2017,2,No,N,X,X,LL,134,ZZ1,201,YY2,268,B,603
Other-Holidays,17,7,2017,3,No,W,Y,Z,ZZ,6,WW1,9,XX2,12,B,27
Other-Holidays,17,7,2017,0,No,Y,W,X,WW,308,ZZ1,462,WW2,616,L,1386
Other-Holidays,17,7,2017,1,No,L,M,N,YY,36,WW1,54,XX2,72,L,162
Other-Holidays,17,7,2017,2,No,W,M,M,MM,54,WW1,81,WW2,108,L,243
Other-Holidays,17,7,2017,3,No,L,N,N,ZZ,0,YY1,0,WW2,0,L,0
Other-Holidays,17,7,2017,0,No,L,Z,M,LL,102,MM1,153,WW2,204,D,459
Other-Holidays,17,7,2017,1,No,Y,N,Z,WW,218,LL1,327,XX2,436,D,981
Other-Holidays,17,7,2017,2,No,X,M,Z,MM,114,ZZ1,171,XX2,228,D,513
Other-Holidays,17,7,2017,3,No,X,X,L,ZZ,324,WW1,486,WW2,648,D,1458
Regular,11,8,2017,0,No,W,W,M,MM,0,YY1,0,YY2,0,B,0
Regular,11,8,2017,1,Yes,O,W,Z,YY,54,WW1,81,LL2,108,B,243
Regular,11,8,2017,2,No,Z,Z,L,XX,320,YY1,480,MM2,640,B,1440
Regular,11,8,2017,3,No,M,N,Y,MM,214,LL1,321,YY2,428,B,963
Regular,11,8,2017,0,No,N,W,O,ZZ,342,ZZ1,513,ZZ2,684,L,1539
Regular,11,8,2017,1,No,M,N,N,LL,44,WW1,66,XX2,88,L,198
Regular,11,8,2017,2,Yes,L,N,L,LL,212,XX1,318,WW2,424,L,954
Regular,11,8,2017,3,No,N,Y,N,YY,48,XX1,72,XX2,96,L,216
Regular,11,8,2017,0,No,X,O,Z,WW,0,ZZ1,0,XX2,0,D,0
Regular,11,8,2017,1,No,L,M,M,XX,32,MM1,48,WW2,64,D,144
Regular,11,8,2017,2,Yes,Z,Y,X,LL,528,YY1,792,WW2,1056,D,2376
Regular,11,8,2017,3,No,O,X,X,WW,94,YY1,141,ZZ2,188,D,423
Exam,26,4,2017,0,No,N,W,X,MM,248,MM1,372,YY2,496,B,1116
Exam,26,4,2017,1,No,L,O,O,YY,392,ZZ1,588,MM2,784,B,1764
Exam,26,4,2017,2,No,O,X,L,LL,104,LL1,156,YY2,208,B,468
Exam,26,4,2017,3,No,X,X,M,YY,70,ZZ1,105,ZZ2,140,B,315
Exam,26,4,2017,0,No,M,O,X,ZZ,174,MM1,261,XX2,348,L,783
Exam,26,4,2017,1,No,W,Z,O,LL,180,ZZ1,270,WW2,360,L,810
Exam,26,4,2017,2,No,Z,N,O,LL,252,WW1,378,ZZ2,504,L,1134
Exam,26,4,2017,3,No,W,L,M,MM,286,XX1,429,MM2,572,L,1287
Exam,26,4,2017,0,No,O,X,Y,YY,0,LL1,0,XX2,0,D,0
Exam,26,4,2017,1,No,Z,N,X,MM,124,LL1,186,WW2,248,D,558
Exam,26,4,2017,2,Yes,Z,Y,M,WW,100,ZZ1,150,WW2,200,D,450
Exam,26,4,2017,3,No,X,M,N,YY,0,WW1,0,MM2,0,D,0
Sem-Break,14,4,2017,0,No,O,N,W,MM,122,YY1,183,ZZ2,244,B,549
Sem-Break,14,4,2017,1,No,X,Y,Z,XX,0,MM1,0,MM2,0,B,0
Sem-Break,14,4,2017,2,No,L,L,L,MM,386,MM1,579,ZZ2,772,B,1737
Sem-Break,14,4,2017,3,No,O,L,W,WW,44,XX1,66,WW2,88,B,198
Sem-Break,14,4,2017,0,No,Z,O,X,WW,228,WW1,342,YY2,456,L,1026
Sem-Break,14,4,2017,1,No,W,X,L,ZZ,446,YY1,669,YY2,892,L,2007
Sem-Break,14,4,2017,2,No,Y,N,Y,ZZ,168,XX1,252,MM2,336,L,756
Sem-Break,14,4,2017,3,No,M,X,X,ZZ,508,WW1,762,MM2,1016,L,2286
Sem-Break,14,4,2017,0,No,L,X,O,ZZ,182,WW1,273,MM2,364,D,819
Sem-Break,14,4,2017,1,No,M,O,Z,YY,328,YY1,492,LL2,656,D,1476
Sem-Break,14,4,2017,2,No,O,Y,O,ZZ,214,XX1,321,MM2,428,D,963
Sem-Break,14,4,2017,3,No,N,L,M,XX,22,XX1,33,LL2,44,D,99
Regular,7,12,2017,0,No,Y,L,M,YY,252,WW1,378,YY2,504,B,1134
Regular,7,12,2017,1,No,X,N,O,MM,44,WW1,66,WW2,88,B,198
